,EUR_USD,returns,dir,sma,bol1,bol2,min,max,mom,vol,dir_lag_1,dir_lag_2,dir_lag_3,dir_lag_4,dir_lag_5,sma_lag_1,sma_lag_2,sma_lag_3,sma_lag_4,sma_lag_5,bol1_lag_1,bol1_lag_2,bol1_lag_3,bol1_lag_4,bol1_lag_5,bol2_lag_1,bol2_lag_2,bol2_lag_3,bol2_lag_4,bol2_lag_5,min_lag_1,min_lag_2,min_lag_3,min_lag_4,min_lag_5,max_lag_1,max_lag_2,max_lag_3,max_lag_4,max_lag_5,mom_lag_1,mom_lag_2,mom_lag_3,mom_lag_4,mom_lag_5,vol_lag_1,vol_lag_2,vol_lag_3,vol_lag_4,vol_lag_5,proba,position
2022-10-19 19:55:00+00:00,0.9769749999999999,0.0001074803785365906,1,-0.0016694333333333589,0.9778041198821474,0.9763466801178524,-0.00044525192558664273,0.0008751503364978763,1.8765935056020565e-05,0.0002754750268640147,0.0,1.0,0.0,1.0,0.0,-0.0017110666666667607,-0.0017627333333332107,-0.001804933333333314,-0.0018312000000001438,-0.0018628000000001643,0.9778034852368852,0.9778168563270029,0.9778183701922107,0.9778220343774743,0.9778232459539697,0.9763397147631149,0.9762999436729973,0.9762832298077893,0.9762907656225256,0.9762935540460302,-0.00033781362924445446,-0.00039920976937957153,-0.00038897760307909923,-0.00042990501146422666,-6.14376407946926e-05,0.0009827305578018475,0.0009212533139528745,0.000931498996847191,0.0008905175237470253,0.0012594716362890335,-3.07089153316316e-05,0.00011261664888306511,-0.00010575783251048664,-0.0001841941043359759,-0.00017061644091252983,0.000283336850964679,0.00028635144419399973,0.00029409598425629563,0.0002942134874097247,0.0002916930548876108,0.5149402,0.0
2022-10-19 20:00:00+00:00,0.9773149999999999,0.00034795245683132776,1,-0.0016042666666667982,0.9778055573499367,0.9764072426500632,-0.0007315962611849081,0.0005269539503640619,0.0001313380205589656,0.000273585219502555,1.0,0.0,1.0,0.0,1.0,-0.0016694333333333589,-0.0017110666666667607,-0.0017627333333332107,-0.001804933333333314,-0.0018312000000001438,0.9778041198821474,0.9778034852368852,0.9778168563270029,0.9778183701922107,0.9778220343774743,0.9763466801178524,0.9763397147631149,0.9762999436729973,0.9762832298077893,0.9762907656225256,-0.00044525192558664273,-0.00033781362924445446,-0.00039920976937957153,-0.00038897760307909923,-0.00042990501146422666,0.0008751503364978763,0.0009827305578018475,0.0009212533139528745,0.000931498996847191,0.0008905175237470253,1.8765935056020565e-05,-3.07089153316316e-05,0.00011261664888306511,-0.00010575783251048664,-0.0001841941043359759,0.0002754750268640147,0.000283336850964679,0.00028635144419399973,0.00029409598425629563,0.0002942134874097247,0.51945525,0.0
2022-10-19 20:05:00+00:00,0.977385,7.16222438531649e-05,1,-0.0015364999999999407,0.9778157603970979,0.9764566396029021,-0.0008031635435370443,0.00045529653104980916,0.0001756850264070277,0.00027332312484294274,1.0,1.0,0.0,1.0,0.0,-0.0016042666666667982,-0.0016694333333333589,-0.0017110666666667607,-0.0017627333333332107,-0.001804933333333314,0.9778055573499367,0.9778041198821474,0.9778034852368852,0.9778168563270029,0.9778183701922107,0.9764072426500632,0.9763466801178524,0.9763397147631149,0.9762999436729973,0.9762832298077893,-0.0007315962611849081,-0.00044525192558664273,-0.00033781362924445446,-0.00039920976937957153,-0.00038897760307909923,0.0005269539503640619,0.0008751503364978763,0.0009827305578018475,0.0009212533139528745,0.000931498996847191,0.0001313380205589656,1.8765935056020565e-05,-3.07089153316316e-05,0.00011261664888306511,-0.00010575783251048664,0.000273585219502555,0.0002754750268640147,0.000283336850964679,0.00028635144419399973,0.00029409598425629563,0.50707364,0.0
2022-10-19 20:10:00+00:00,0.97714,-0.00025070029933936246,0,-0.0014926333333331598,0.9778185772303352,0.9764618227696649,-0.0005526331948338958,0.0007061424156211693,5.629146711504337e-05,0.0002670007442013898,1.0,1.0,1.0,0.0,1.0,-0.0015364999999999407,-0.0016042666666667982,-0.0016694333333333589,-0.0017110666666667607,-0.0017627333333332107,0.9778157603970979,0.9778055573499367,0.9778041198821474,0.9778034852368852,0.9778168563270029,0.9764566396029021,0.9764072426500632,0.9763466801178524,0.9763397147631149,0.9762999436729973,-0.0008031635435370443,-0.0007315962611849081,-0.00044525192558664273,-0.00033781362924445446,-0.00039920976937957153,0.00045529653104980916,0.0005269539503640619,0.0008751503364978763,0.0009827305578018475,0.0009212533139528745,0.0001756850264070277,0.0001313380205589656,1.8765935056020565e-05,-3.07089153316316e-05,0.00011261664888306511,0.00027332312484294274,0.000273585219502555,0.0002754750268640147,0.000283336850964679,0.00028635144419399973,0.5071063,0.0
2022-10-19 20:15:00+00:00,0.977375,0.00024046886427817152,1,-0.0014448000000000238,0.9778317319568658,0.9764626680431342,-0.0007929402736922553,0.00046553267681281874,2.0463602930657953e-05,0.0002693428937928442,0.0,1.0,1.0,1.0,0.0,-0.0014926333333331598,-0.0015364999999999407,-0.0016042666666667982,-0.0016694333333333589,-0.0017110666666667607,0.9778185772303352,0.9778157603970979,0.9778055573499367,0.9778041198821474,0.9778034852368852,0.9764618227696649,0.9764566396029021,0.9764072426500632,0.9763466801178524,0.9763397147631149,-0.0005526331948338958,-0.0008031635435370443,-0.0007315962611849081,-0.00044525192558664273,-0.00033781362924445446,0.0007061424156211693,0.00045529653104980916,0.0005269539503640619,0.0008751503364978763,0.0009827305578018475,5.629146711504337e-05,0.0001756850264070277,0.0001313380205589656,1.8765935056020565e-05,-3.07089153316316e-05,0.0002670007442013898,0.00027332312484294274,0.000273585219502555,0.0002754750268640147,0.000283336850964679,0.5120224,0.0
2022-10-19 20:20:00+00:00,0.97752,0.00014834556358868609,1,-0.0013991999999999338,0.9778484150746141,0.976457984925386,-0.0009411572141745372,0.0003171290612979938,4.603804284249835e-05,0.00026873020871841875,1.0,0.0,1.0,1.0,1.0,-0.0014448000000000238,-0.0014926333333331598,-0.0015364999999999407,-0.0016042666666667982,-0.0016694333333333589,0.9778317319568658,0.9778185772303352,0.9778157603970979,0.9778055573499367,0.9778041198821474,0.9764626680431342,0.9764618227696649,0.9764566396029021,0.9764072426500632,0.9763466801178524,-0.0007929402736922553,-0.0005526331948338958,-0.0008031635435370443,-0.0007315962611849081,-0.00044525192558664273,0.00046553267681281874,0.0007061424156211693,0.00045529653104980916,0.0005269539503640619,0.0008751503364978763,2.0463602930657953e-05,5.629146711504337e-05,0.0001756850264070277,0.0001313380205589656,1.8765935056020565e-05,0.0002693428937928442,0.0002670007442013898,0.00027332312484294274,0.000273585219502555,0.0002754750268640147,0.51969635,0.0
2022-10-19 20:25:00+00:00,0.9774050000000001,-0.00011765157244650197,0,-0.0013633666666666988,0.9778325145390384,0.9764630854609616,-0.0008236094556505202,0.0004348248678898159,9.038761847345186e-05,0.00026746920292765574,1.0,1.0,0.0,1.0,1.0,-0.0013991999999999338,-0.0014448000000000238,-0.0014926333333331598,-0.0015364999999999407,-0.0016042666666667982,0.9778484150746141,0.9778317319568658,0.9778185772303352,0.9778157603970979,0.9778055573499367,0.976457984925386,0.9764626680431342,0.9764618227696649,0.9764566396029021,0.9764072426500632,-0.0009411572141745372,-0.0007929402736922553,-0.0005526331948338958,-0.0008031635435370443,-0.0007315962611849081,0.0003171290612979938,0.00046553267681281874,0.0007061424156211693,0.00045529653104980916,0.0005269539503640619,4.603804284249835e-05,2.0463602930657953e-05,5.629146711504337e-05,0.0001756850264070277,0.0001313380205589656,0.00026873020871841875,0.0002693428937928442,0.0002670007442013898,0.00027332312484294274,0.000273585219502555,0.51076347,0.0
2022-10-19 20:30:00+00:00,0.97726,-0.00014836301899918028,0,-0.0013340333333335952,0.9777880331900637,0.9764771668099361,-0.0006753576325645438,0.0005832634099420808,-3.922300928566544e-05,0.0002679567636105335,0.0,1.0,1.0,0.0,1.0,-0.0013633666666666988,-0.0013991999999999338,-0.0014448000000000238,-0.0014926333333331598,-0.0015364999999999407,0.9778325145390384,0.9778484150746141,0.9778317319568658,0.9778185772303352,0.9778157603970979,0.9764630854609616,0.976457984925386,0.9764626680431342,0.9764618227696649,0.9764566396029021,-0.0008236094556505202,-0.0009411572141745372,-0.0007929402736922553,-0.0005526331948338958,-0.0008031635435370443,0.0004348248678898159,0.0003171290612979938,0.00046553267681281874,0.0007061424156211693,0.00045529653104980916,9.038761847345186e-05,4.603804284249835e-05,2.0463602930657953e-05,5.629146711504337e-05,0.0001756850264070277,0.00026746920292765574,0.00026873020871841875,0.0002693428937928442,0.0002670007442013898,0.00027332312484294274,0.50816494,0.0
2022-10-19 20:35:00+00:00,0.977435,0.00017905606804901415,1,-0.0013098666666667702,0.9777190726403414,0.9765145273596586,-0.0008542767549760688,0.00018927089780906847,-2.8986174465556094e-05,0.00026747537293412253,0.0,0.0,1.0,1.0,0.0,-0.0013340333333335952,-0.0013633666666666988,-0.0013991999999999338,-0.0014448000000000238,-0.0014926333333331598,0.9777880331900637,0.9778325145390384,0.9778484150746141,0.9778317319568658,0.9778185772303352,0.9764771668099361,0.9764630854609616,0.976457984925386,0.9764626680431342,0.9764618227696649,-0.0006753576325645438,-0.0008236094556505202,-0.0009411572141745372,-0.0007929402736922553,-0.0005526331948338958,0.0005832634099420808,0.0004348248678898159,0.0003171290612979938,0.00046553267681281874,0.0007061424156211693,-3.922300928566544e-05,9.038761847345186e-05,4.603804284249835e-05,2.0463602930657953e-05,5.629146711504337e-05,0.0002679567636105335,0.00026746920292765574,0.00026873020871841875,0.0002693428937928442,0.0002670007442013898,0.51449525,0.0
2022-10-19 20:40:00+00:00,0.977305,-0.0001330100168735571,0,-0.0012875666666667396,0.9776749646917109,0.9765334353082891,-0.0007213715268007403,0.00021999273512363082,-3.410565594124113e-05,0.0002654374432703034,1.0,0.0,0.0,1.0,1.0,-0.0013098666666667702,-0.0013340333333335952,-0.0013633666666666988,-0.0013991999999999338,-0.0014448000000000238,0.9777190726403414,0.9777880331900637,0.9778325145390384,0.9778484150746141,0.9778317319568658,0.9765145273596586,0.9764771668099361,0.9764630854609616,0.976457984925386,0.9764626680431342,-0.0008542767549760688,-0.0006753576325645438,-0.0008236094556505202,-0.0009411572141745372,-0.0007929402736922553,0.00018927089780906847,0.0005832634099420808,0.0004348248678898159,0.0003171290612979938,0.00046553267681281874,-2.8986174465556094e-05,-3.922300928566544e-05,9.038761847345186e-05,4.603804284249835e-05,2.0463602930657953e-05,0.00026747537293412253,0.0002679567636105335,0.00026746920292765574,0.00026873020871841875,0.0002693428937928442,0.51923454,0.0
